ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source
UN,ELEC,State Capitol,422 Rice St,Ramp F,St. Paul,MN,55103,Public,24 hours daily,,,,,,2,,,Unknown,,GPS,44.9554,-93.105642,12/11/2018,49521,2019-05-14 21:16:45 UTC,SG,,,1/31/16,,,,,J1772,US,,,,Public,,public,,,STATE_GOV,,,,,,,Free,,,,,,,,,SOLAR
UN,ELEC,Central Avenue Nissan,1919 Central Park Ave,,Yonkers,NY,10710,Public - Call ahead,Dealership business hours; Nissan use only,,,,,,1,1,,Unknown,,200-9,40.96453,-73.839438,7/9/2018,49678,2019-05-14 21:16:45 UTC,P,,,4/5/16,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Commonwealth Nissan,1 Commonwealth Dr,,Lawrence,MA,1841,Public - Call ahead,Dealership business hours,,,,,,,1,,Unknown,,200-9,42.715137,-71.139068,7/9/2018,49809,2019-05-14 21:16:45 UTC,P,,,10/1/16,,,,,CHADEMO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Gateway Nissan,441 28th St S,,Fargo,ND,58103,Public,Dealership business hours,,,,,,1,,,Unknown,,200-8,46.870647,-96.827449,6/6/2019,49886,2019-06-06 17:52:59 UTC,P,,,6/27/18,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,The Market Place,13762 Jamboree Rd,Located by Edwards Cinema on West Dr,Tustin,CA,92602,Public - Credit card at all times,24 hours daily,A M V,,,,,2,2,,Unknown,,GPS,33.723303,-117.789218,3/7/2019,50158,2019-05-14 21:16:45 UTC,P,,,4/28/17,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Carte de crédit en tout temps,,public,CREDIT_CARD_ALWAYS,,SHOPPING_MALL,,,,,,,$1 per hour,,,,,,,,,
UN,ELEC,Buncombe County - Health and Human Services,40 Coxe Ave,Access is off Coxe Ave. on Sears Alley on the north side of building,Asheville,NC,28801,Public,24 hours daily; pay lot; maximum session time of 4 hours,,,,,,4,,,Unknown,,GPS,35.593656,-82.555258,4/8/2019,50172,2019-05-14 21:16:45 UTC,P,,,2/1/18,,,,,J1772,US,,,,Public,,public,,,PAY_GARAGE,,,,,,,Free,,,,,,,,,
UN,ELEC,East Lansing - Library,950 Abbott Rd,,East Lansing,MI,48823,Public,24 hours daily,,,,,,1,,,Unknown,,200-8,42.743375,-84.483726,7/9/2019,50836,2019-07-09 17:26:18 UTC,P,,,4/22/18,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,,,,,,,,,,
UN,ELEC,Bob Swope Ford,1307 N Dixie Hwy,,Elizabethtown,KY,42701,Public - Call ahead,Dealership business hours,,,,,,2,,,Unknown,,200-9,37.720765,-85.877722,2/6/2019,51661,2019-05-14 21:16:45 UTC,P,,,6/27/16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Bob Boyd Ford,2840 N Columbus St,Located near the rear service door,Lancaster,OH,43130,Public,24 hours daily,,,,,,2,,,Unknown,,200-9,39.746087,-82.647696,3/8/2018,51697,2019-05-14 21:16:45 UTC,P,,,12/27/16,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,
UN,ELEC,Marymount College at San Pedro,15401 USS New Jersey,Located at the dorms,Los Angeles,CA,90732,Public,24 hours daily,,,,,,2,,,Unknown,,200-8,33.777672,-118.302516,2/6/2019,51951,2019-05-14 21:16:45 UTC,P,,,8/20/18,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,
